NID,Title,URL,"Start Date","End Date","Time Range",Recurring
15,"Sharath Jois Reveals the Active Series",https://cscddev.ddev.site/events/sharath-jois-reveals-active-series,11/8/2024,,"5:15 AM - 8:00 AM",No
39,"CHILL WITH CAVMAN: Yoga & Mindfulness After the 4th Year Student “Run with Jim”",https://cscddev.ddev.site/events/chill-cavman-yoga-mindfulness-after-4th-year-student-run-jim,4/30/2024,,"4:15 AM - 5:00 AM",No
41,"Citizen Leaders Fellowship Final Presentation",https://cscddev.ddev.site/events/citizen-leaders-fellowship-final-presentation,4/26/2024,,"11:00 AM - 1:00 PM",No
42,"Tom Tom Festival: Psychedelics & Meditation and Science of Psychedelics",https://cscddev.ddev.site/events/tom-tom-festival-psychedelics-meditation-and-science-psychedelics,4/20/2024,,"8:30 AM - 11:30 AM",No
130,"Community Practice",https://cscddev.ddev.site/events/community-practice,5/16/2024,,"8:00 AM - 9:00 AM",No
133,"Yoga at Morven Student Days",https://cscddev.ddev.site/events/yoga-morven-student-days,3/22/2024,5/1/2024,"6:00 AM - 12:00 PM",Yes
152,"Big Meadows Camping-Stargazing and Yoga (Students Only)",https://cscddev.ddev.site/events/students-contemplation-under-stars-big-meadows-camping,9/5/2024,,"8:00 PM - 7:59 PM",No
178,"Contemplation: An Open Dialogue",https://cscddev.ddev.site/events/contemplation-open-dialogue,10/8/2024,,"11:30 AM - 1:00 PM",No
179,"Tulpa: An Open Dialogue",https://cscddev.ddev.site/events/tulpa-open-dialogue,11/14/2024,,"10:30 AM - 12:00 PM",No
209,"Salon Research Series: Darkness",https://cscddev.ddev.site/events/salon-research-series-darkness,12/12/2024,,"10:30 AM - 12:00 PM",No
213,"Ways of Preserving Mindfulness: A Tibetan Typology by Jigme Lingpa (1730-1798)",https://cscddev.ddev.site/events/ways-preserving-mindfulness-tibetan-typology-jigme-lingpa-1730-1798,11/1/2024,,"11:30 AM - 1:00 PM",No
214,"Pre-Election Special",https://cscddev.ddev.site/events/pre-election-special,11/4/2024,,"11:00 AM - 12:00 PM",No
215,"Post-Election Commons Unplugged",https://cscddev.ddev.site/events/post-election-commons-unplugged,11/6/2024,,"5:00 AM - 9:00 AM",No
218,"Introduction to Thinking-at-the-Edge for Graduate Students",https://cscddev.ddev.site/events/introduction-thinking-edge-graduate-students,11/7/2024,,"7:00 AM - 10:00 AM",No
219,"Introduction to Thinking-at-the-Edge for Faculty",https://cscddev.ddev.site/events/introduction-thinking-edge-faculty,11/8/2024,,"4:30 AM - 7:00 AM",No
221,"Morven Student Days 2024",https://cscddev.ddev.site/events/morven-student-days-2024,10/27/2024,,"7:00 AM - 1:00 PM",No
