title,upload_date,url
10-Minute Yoga Class with Sharath Jois,2014-11-13,https://www.youtube.com/watch?v=ybRZa2WK0tA
25-Minute Yoga Class with Sharath Jois,2014-11-13,https://www.youtube.com/watch?v=UzldVCUD82U
30 Minute Yoga Class with Sharath Jois,2014-12-09,https://www.youtube.com/watch?v=PM1LsFEIYR8
35-Minute Yoga Class with Sharath Jois,2015-01-03,https://www.youtube.com/watch?v=Wk2WDl1XLgQ
Ashtanga Yoga: Finishing Poses with Sharath Jois,2014-11-13,https://www.youtube.com/watch?v=lx2t7WNwrYA
Learning Ashtanga From the Source: Sharath Jois U.S. Tour 2019,2019-03-13,https://www.youtube.com/watch?v=Vbmf7beTvLM
NEW Sharath Jois on Tradition & Lineage in Yoga,2017-10-09,https://www.youtube.com/watch?v=JORfPNfUOa4
NEW Yoga Breathing for Stress Relief with Sharath Jois   Nadhi Shodhana,2017-10-09,https://www.youtube.com/watch?v=qLHbHZiPTMU
Sharath Jois on Finding Focus in Yoga,2016-08-05,https://www.youtube.com/watch?v=irqO_3swPuE
Sharath Jois on How to Introduce Children to Yoga,2016-07-18,https://www.youtube.com/watch?v=xcBNgC_iXxE
Sharath Jois on How to Live a Yogic Lifestyle,2016-06-22,https://www.youtube.com/watch?v=gbUUkfJG_HA
Sharath Jois on Kleshas & Yoga,2015-01-06,https://www.youtube.com/watch?v=mZlI0me4zO4
Sharath Jois on the Healing Powers of Yoga,2015-01-08,https://www.youtube.com/watch?v=C4NuvKwt03Y
Sharath Jois On The Nature Of Effort and Surrender,2016-07-06,https://www.youtube.com/watch?v=gn4cqIozHwU
Sharath Jois on the Relationship Between Breathing and Yoga,2016-08-25,https://www.youtube.com/watch?v=AtP3UYPvXrM
Sharath Jois on Yoga and the Six Poisons,2016-08-01,https://www.youtube.com/watch?v=i5ILLVHh_SQ
Sharath Jois' Personal Yoga Journey,2017-03-23,https://www.youtube.com/watch?v=11jDrnmGoNc
Sharath on A Yoga Practice Can Benefit Everyone,2017-09-15,https://www.youtube.com/watch?v=ZpTmjeUFoFY
"Sharath on the Father of Yoga, Krishnamacharya and Ashtanga Founder, Sri K  Pattabhi Jois",2017-03-23,https://www.youtube.com/watch?v=Hd9CgT-WhLE
"Sun Salutation A, or Surya Namaskar with Sharath Jois",2014-11-13,https://www.youtube.com/watch?v=PYXjtJSBiEs
Yoga Breathing for Stress Relief with Sharath Jois - Nadhi Shodhana,2014-11-13,https://www.youtube.com/watch?v=boKv7fqcUWk
